,n_movies,n_cat,time,n_mvoies_watched,n_hours_watched
4770,11901.0,11.0,0.018758749996777624,11.0,23.0
4771,11901.0,12.0,0.018822917016223073,12.0,23.0
4772,11901.0,13.0,0.019390915986150503,11.0,23.0
4773,11901.0,14.0,0.019335832999786362,9.0,23.0
4774,11901.0,15.0,0.019475916982628405,11.0,23.0
4775,11901.0,16.0,0.01936995901633054,9.0,23.0
4776,11901.0,17.0,0.0199252080055885,13.0,23.0
4777,11901.0,18.0,0.019185917015420273,9.0,23.0
4778,11901.0,19.0,0.019521625014021993,10.0,23.0
4779,11901.0,20.0,0.0198096250242088,13.0,23.0
4780,11951.0,1.0,0.01895070800674148,1.0,3.0
4781,11951.0,2.0,0.01871012500487268,3.0,8.0
4782,11951.0,3.0,0.01896750001469627,4.0,12.0
4783,11951.0,4.0,0.019125332997646183,10.0,23.0
4784,11951.0,5.0,0.018685874994844198,9.0,23.0
4785,11951.0,6.0,0.01848691698978655,10.0,23.0
4786,11951.0,7.0,0.019050791015615687,12.0,23.0
4787,11951.0,8.0,0.01881704101106152,12.0,23.0
4788,11951.0,9.0,0.018875124980695546,11.0,23.0
4789,11951.0,10.0,0.019454833993222564,10.0,23.0
4790,11951.0,11.0,0.01954712500446476,9.0,23.0
4791,11951.0,12.0,0.01929754199227318,13.0,23.0
4792,11951.0,13.0,0.019068166002398357,11.0,23.0
4793,11951.0,14.0,0.019058250007219613,9.0,23.0
4794,11951.0,15.0,0.019610042014392093,11.0,23.0
4795,11951.0,16.0,0.019224791991291568,11.0,23.0
4796,11951.0,17.0,0.0196099589811638,10.0,23.0
4797,11951.0,18.0,0.019548375013982877,9.0,23.0
4798,11951.0,19.0,0.019584583002142608,10.0,23.0
4799,11951.0,20.0,0.019438459014054388,12.0,23.0
4800,12001.0,1.0,0.01922487499541603,1.0,4.0
4801,12001.0,2.0,0.018819999997504056,2.0,8.0
4802,12001.0,3.0,0.018713624973315746,8.0,23.0
4803,12001.0,4.0,0.018911291990661994,10.0,23.0
4804,12001.0,5.0,0.0189396669738926,11.0,23.0
4805,12001.0,6.0,0.019117707997793332,14.0,23.0
4806,12001.0,7.0,0.01871854200726375,8.0,23.0
4807,12001.0,8.0,0.019007041992153972,11.0,23.0
4808,12001.0,9.0,0.01897158400970511,11.0,23.0
4809,12001.0,10.0,0.019211874983739108,12.0,23.0
4810,12001.0,11.0,0.01908383399131708,11.0,23.0
4811,12001.0,12.0,0.0197820839821361,10.0,23.0
4812,12001.0,13.0,0.019213708001188934,11.0,23.0
4813,12001.0,14.0,0.019571540993638337,13.0,23.0
4814,12001.0,15.0,0.019337917008670047,11.0,23.0
4815,12001.0,16.0,0.018796290998579934,13.0,23.0
4816,12001.0,17.0,0.018834541988326237,10.0,23.0
4817,12001.0,18.0,0.019176250003511086,11.0,23.0
4818,12001.0,19.0,0.019377332995645702,10.0,23.0
4819,12001.0,20.0,0.019949125009588897,12.0,23.0
4820,12051.0,1.0,0.018732708995230496,1.0,4.0
4821,12051.0,2.0,0.019116667011985555,3.0,8.0
4822,12051.0,3.0,0.018842041987227276,7.0,18.0
4823,12051.0,4.0,0.019011625001439825,8.0,21.0
4824,12051.0,5.0,0.018915124994236976,8.0,23.0
4825,12051.0,6.0,0.018919667025329545,12.0,23.0
4826,12051.0,7.0,0.018978542007971555,11.0,23.0
4827,12051.0,8.0,0.019081167003605515,11.0,23.0
4828,12051.0,9.0,0.018713208992267027,9.0,23.0
4829,12051.0,10.0,0.019031708012335002,11.0,23.0
4830,12051.0,11.0,0.01936362500418909,11.0,23.0
4831,12051.0,12.0,0.018912833009380847,10.0,23.0
4832,12051.0,13.0,0.018565415986813605,10.0,23.0
4833,12051.0,14.0,0.019491709012072533,12.0,23.0
4834,12051.0,15.0,0.019322333013406023,12.0,23.0
4835,12051.0,16.0,0.019691583001986146,13.0,23.0
4836,12051.0,17.0,0.019656832999316975,12.0,23.0
4837,12051.0,18.0,0.019730957981664687,11.0,23.0
4838,12051.0,19.0,0.01976287498837337,12.0,23.0
4839,12051.0,20.0,0.019835292012430727,12.0,23.0
4840,12101.0,1.0,0.018742083018878475,1.0,3.0
4841,12101.0,2.0,0.019239333021687344,4.0,8.0
4842,12101.0,3.0,0.018684250011574477,6.0,16.0
4843,12101.0,4.0,0.018782166996970773,11.0,23.0
4844,12101.0,5.0,0.018777166988002136,11.0,23.0
4845,12101.0,6.0,0.019387834006920457,11.0,23.0
4846,12101.0,7.0,0.019374625000637025,11.0,23.0
4847,12101.0,8.0,0.019210999977076426,11.0,23.0
4848,12101.0,9.0,0.018932207982288674,10.0,23.0
4849,12101.0,10.0,0.018847875006031245,11.0,23.0
4850,12101.0,11.0,0.018492625007638708,10.0,23.0
4851,12101.0,12.0,0.019213040999602526,12.0,23.0
4852,12101.0,13.0,0.019534916995326057,11.0,23.0
4853,12101.0,14.0,0.019788375007919967,11.0,23.0
4854,12101.0,15.0,0.01954416700755246,11.0,23.0
4855,12101.0,16.0,0.019840833003399894,11.0,23.0
4856,12101.0,17.0,0.019277083018096164,9.0,23.0
4857,12101.0,18.0,0.019862832996295765,13.0,23.0
4858,12101.0,19.0,0.02017104101832956,12.0,23.0
4859,12101.0,20.0,0.019787166005698964,11.0,23.0
4860,12151.0,1.0,0.019150165986502543,1.0,4.0
4861,12151.0,2.0,0.018882749980548397,2.0,8.0
4862,12151.0,3.0,0.019319749990245327,6.0,20.0
4863,12151.0,4.0,0.019280499982414767,9.0,21.0
4864,12151.0,5.0,0.018860499985748902,12.0,23.0
4865,12151.0,6.0,0.018955959007143974,10.0,23.0
4866,12151.0,7.0,0.018927917000837624,8.0,23.0
4867,12151.0,8.0,0.019089166016783565,11.0,23.0
4868,12151.0,9.0,0.018800375022692606,13.0,23.0
4869,12151.0,10.0,0.01949199999216944,11.0,23.0
4870,12151.0,11.0,0.019398834003368393,10.0,23.0
4871,12151.0,12.0,0.0194475419993978,9.0,23.0
4872,12151.0,13.0,0.019251166988397017,8.0,23.0
4873,12151.0,14.0,0.018746582994936034,11.0,23.0
4874,12151.0,15.0,0.01914925000164658,10.0,23.0
4875,12151.0,16.0,0.019841749977786094,10.0,23.0
