,n_movies,n_cat,time,n_mvoies_watched,n_hours_watched
252,601.0,13.0,0.007288416993105784,20.0,22.0
253,601.0,14.0,0.007431083999108523,19.0,21.0
254,601.0,15.0,0.007288583001354709,20.0,22.0
255,601.0,16.0,0.00716199999442324,18.0,22.0
256,601.0,17.0,0.007876875024521723,19.0,21.0
257,601.0,18.0,0.007620042015332729,18.0,21.0
258,601.0,19.0,0.007678541005589068,18.0,23.0
259,601.0,20.0,0.007333000015933067,18.0,23.0
260,651.0,1.0,0.007655916007934138,1.0,1.0
261,651.0,2.0,0.007034166977973655,2.0,4.0
262,651.0,3.0,0.007449875003658235,6.0,8.0
263,651.0,4.0,0.007666582998353988,9.0,11.0
264,651.0,5.0,0.007129415986128151,12.0,18.0
265,651.0,6.0,0.0072265000198967755,19.0,23.0
266,651.0,7.0,0.007028666994301602,17.0,21.0
267,651.0,8.0,0.007755541999358684,18.0,22.0
268,651.0,9.0,0.00777079098043032,18.0,22.0
269,651.0,10.0,0.007295832998352125,18.0,21.0
270,651.0,11.0,0.007237374986289069,22.0,23.0
271,651.0,12.0,0.00779195802169852,18.0,21.0
272,651.0,13.0,0.007971083978191018,21.0,23.0
273,651.0,14.0,0.007545333006419241,20.0,23.0
274,651.0,15.0,0.007314417016459629,20.0,22.0
275,651.0,16.0,0.007478333020117134,16.0,22.0
276,651.0,17.0,0.007239166006911546,20.0,21.0
277,651.0,18.0,0.00727754199760966,18.0,21.0
278,651.0,19.0,0.007400999980745837,20.0,23.0
279,651.0,20.0,0.007323583995457739,18.0,21.0
280,701.0,1.0,0.007510583003750071,1.0,1.0
281,701.0,2.0,0.007629416999407113,2.0,2.0
282,701.0,3.0,0.007437791995471343,9.0,12.0
283,701.0,4.0,0.007386959012364969,8.0,11.0
284,701.0,5.0,0.007839791011065245,18.0,21.0
285,701.0,6.0,0.007924500008812174,17.0,21.0
286,701.0,7.0,0.007453291007550433,17.0,22.0
287,701.0,8.0,0.0072345000226050615,20.0,23.0
288,701.0,9.0,0.0071612919855397195,21.0,23.0
289,701.0,10.0,0.007346208003582433,19.0,23.0
290,701.0,11.0,0.007600334007292986,19.0,21.0
291,701.0,12.0,0.007358083996223286,21.0,23.0
292,701.0,13.0,0.0074320420098956674,18.0,20.0
293,701.0,14.0,0.007754500024020672,19.0,23.0
294,701.0,15.0,0.007575125026050955,19.0,22.0
295,701.0,16.0,0.007323375000851229,18.0,23.0
296,701.0,17.0,0.007698583009187132,20.0,22.0
