,n_movies,n_cat,time,n_output
3184,31801.0,5.0,0.03868829199927859,10.0
3185,31801.0,6.0,0.03841100000136066,22.0
3186,31801.0,7.0,0.038176875008502975,23.0
3187,31801.0,8.0,0.03851987500092946,23.0
3188,31801.0,9.0,0.038301000007777475,23.0
3189,31801.0,10.0,0.03947716699622106,23.0
3190,31901.0,1.0,0.03905962500721216,1.0
3191,31901.0,2.0,0.03881341700616758,3.0
3192,31901.0,3.0,0.03870933401049115,8.0
3193,31901.0,4.0,0.03873533300065901,13.0
3194,31901.0,5.0,0.03892350000387523,17.0
3195,31901.0,6.0,0.03837491599551868,13.0
